Accuracy ,0.774647887,,
neutral,,,https://t.co/8Mgq93CXcm @talk2GLOBE 
neutral,,,@talk2GLOBE do you have 64GB HTC ONE in your postpaid plans? 
negative,,,Wala akong na-recieve na bill for 3 months tapos ito bubungad sakin. Alam ko naka auto charge ako. Why? @talk2GLOBE http://t.co/LOinsLakyQ 
positive,,,@talk2GLOBE thanks! will send details.. 
negative,,,Kindly check naman kung nakasubscribe nga ako sa auto charge. Hassle na eh. @talk2GLOBE 
neutral,,,"@talk2GLOBE hi, i want to know if my dad's postpaid acct is eligible for a new phone? Btw no one is answering ur hotline number. ?? "
negative,,,@melvinpiscasio @talk2GLOBE Look at my bill for this month. 
positive,,,"@talk2GLOBE Hi, I'm using prepaid and planning to change to postpaid. Can I retain my old prepaid number? Thanks. "
negative,,,@talk2GLOBE I've been having problems sending messages. Pansinin niyo naman ako!!! :( 
negative,,,@talk2GLOBE's pocket wifi connection is really soooo painful! Why?! 
neutral,,,"@paparapaula_ @talk2GLOBE PLAN BALANCE lang nirerequest ko, ang kupad parin. "
negative,,,@melvinpiscasio @talk2GLOBE hindi mo din machecheck diyan eh. Tnry ko na yan. 
positive,,,@TauDir Thanks for sharing! We're getting close..Only one more day till our CIO Forum.http://t.co/EtWsI35yP3 
negative,,,@paparapaula_ @talk2GLOBE kailangan ata itatawag pa eh. 
negative,,,Nakakaiyak tong @talk2GLOBE. Nakakasira ng araw. Hassle ng sistema. 
neutral,,,Hi @talk2GLOBE open b cuatomer service hotline nio?....napuputol line eh.... 
negative,,,@melvinpiscasio @talk2GLOBE Wait ka na lang sa bill mo. Masusurprise ka! 
negative,,,"HI @talk2GLOBE 3 days of having a hard time sending messages, pansinin niyo naman ako :( "
neutral,,,"@JenOfGlobe @talk2GLOBE @TemOfGlobe @KenOfGlobe so many people, so little help. "
neutral,,,@talk2GLOBE is it really this hard to get the right message accross? Makes me wonder if Globe is hiring the right people for its customers. 
neutral,,,I'm at Globe Telecom Waltermart http://t.co/jIKAxQxBES 
negative,,,@paparapaula_ @talk2GLOBE Holy. Shit. 
negative,,,"Hi @talk2GLOBE! Ask ko lang, kailangan ba talagang atleast 2 years ka ng employed sa BPO company kung saan ka nagwork para makakuha ng plan? "
negative,,,"@talk2GLOBE waitng,,, "
negative,,,RT @Gerlish94: @paparapaula_ @talk2GLOBE Holy. Shit. 
negative,,,@Gerlish94 @talk2GLOBE Tangina nga eh 
neutral,,,I need to see my bill. Bakit biglang laki? :/ @talk2GLOBE 
negative,,,"@paparapaula_ @talk2GLOBE ano yan, tumawag kaba sa Mars be? Baka ako. "
neutral,,,@Gerlish94 @talk2GLOBE 3 buwan lang yan be + 300 something na di ko alam san kinuha ng globe hahaha 
negative,,,Ï@paparapaula_: Nakakaiyak tong @talk2GLOBE. Nakakasira ng araw. Hassle ng sistema.Ó -sinabi mo pa ?? 
neutral,,,@talk2GLOBEÜcan I use my BB9320 as a mobile hotspot? 
neutral,,,"@talk2GLOBE hello..havin a prob connecting to my wifi pocket,6-7 mins just to browse a site,. "
negative,,,Hi @enjoyGLOBE may update na po ba Sa movie tickets namin ni @bourne2bNESTEY ?! Winner po kami Ng #googleMoments last April2013.. Thanks! 
neutral,,,@KnoeWan @talk2GLOBE Tapos iisnobin ka pa! Ugh! 
neutral,,,@talk2GLOBE what details do you require? 
negative,,,@enjoyGLOBE @talk2GLOBE may extra charges ba pag lte?! 
negative,,,@talk2GLOBE seriously??! This problem again? Paulit ulit na lang.. 
neutral,,,@talk2globe do I need to call 2200 to active my LTE SIM? http://t.co/xoPaGoR99V 
neutral,,,Bka gs2 nyo replyan @talk2GLOBE  @NelskiOfGlobe 
negative,,,dear @talk2GLOBE please fix your shitty ringback system. stop robbing us with your automatically renewing ringback. i never requested that. 
positive,,,"@talk2GLOBE Good morning. No worries, thank you :) "
neutral,,,@talk2GLOBE how is my complaint going on!!! 
neutral,,,@talk2globe may i know the status of 13775725? Are the techs working on it? 
negative,,,@talk2GLOBE Nagunli po kasi ako. Pero ang sabi daw po naka unli na then nagtext ako pero nababawasan yung load. 
neutral,,,@talk2GLOBE ref n# 50470912. Payment via globe facility is not safe. Do u have any feedback about this concern? 
positive,,,"@talk2GLOBE Hi Globe Team!:) I can't access my bill online. It says, ""403 Forbidden."" @enjoyGLOBE "
neutral,,,Globe Telecom. Put on this earth to aggravate and annoy the human race and overcharge them by tens of thousands. Wankers. 
neutral,,,Ang tagal magreply ng @talk2GLOBE! 
negative,,,So @enjoyGLOBE is retweeting commendations but is ignoring complaints. Good customer service! 
positive,,,@talk2GLOBE can i request for my billing statement? Thanks 
neutral,,,Reply reply din pag may time! @talk2GLOBE 
neutral,,,"Dear @talk2globe, this is the 2nd straight month that you've used kb-based rates for my mobile internet. FIX THIS!!! "
negative,,,@talk2GLOBE  ITS BEEN THREE DAYS ALREADY !!!! THREE DAYS AND OUR BROADBAND  APPLICATION IS STILL INACTIVE!! 
neutral,,,Dear @talk2GLOBE. Why am I getting SIM Not Registered message? 
neutral,,,@talk2GLOBE di ko po kasi macontact ung 211 kahapon. 
neutral,,,@HarryOfGlobe @KenOfGlobe @talk2GLOBE account number 63928355 
neutral,,,@talk2GLOBE Need to talk to globe! Hahaha :D 
positive,,,"@talk2GLOBE pls address my 1st concern first. I sent few DMs few days ago, right? Thanks! "
neutral,,,@talk2GLOBE  WHY IS YOUR APPLICATION PROCESSING VERY SLOW!!!!!! 
positive,,,how do we get globe configuration again? @talk2GLOBE :) thank you 
negative,,,@HarryOfGlobe @KenOfGlobe @talk2GLOBE up to what time should i wait? 
negative,,,Ï@melvinpiscasio: Dapat @Talk2Paula nalang gawin niyo eh hahahahahah @paparapaula_Ó Hahahaha @talk2GLOBE 
negative,,,@talk2GLOBE Bakit ang hina ng connection this time sa Cebu? I'm on SUPERSURF50 on mobile... 
positive,,,@phanie12 You may tweet me or @Talk2Globe directly so we can have a record and facilitate the concern :) 
neutral,,,@talk2GLOBE ok na..sana ma follow up na and makuha na yung unit hehe 
negative,,,ang bagal ng net! @talk2GLOBE 
neutral,,,@talk2GLOBE KB browsing amounted to ~3k. Might go back to Trinoma to have it waived. Same prob with prev bill. 
neutral,,,"@talk2GLOBE ask ko lang po, if san po branch ng globe store po(within area po ng cavite or laguna po) mron po availability ng HTC One. "
negative,,,"@talk2GLOBE yes currently.  I don't want to bother you guys nakakahiya naman sa inyo. hanggang tanong lang kayo, walang aksyon. "
neutral,,,@talk2GLOBE They turned of my net in exchange of waiving the charges. May have been too late. 
negative,,,@talk2GLOBE i am still waiting for my bills requested to send in my email - its been months already. I would like to follow up! THANKS 
neutral,,,@talk2GLOBE I'm not receiving any feedback from John for ticket#1306091607 
neutral,,,https://t.co/Sk0uBc9GD6 @talk2GLOBE 
neutral,,,"@talk2GLOBE umm early this morning, about 4am, I checked my load balance. P13 it said. Then after 8 or 9 texts, I only had P1.50 left. "
positive,,,@talk2GLOBE can you follow me and i will swnd a DM. Thanks 
negative,,,@talk2GLOBE it's 97 days already and my payment was not yet posted in your system.. . Which supposedly will take only 24-48 hours. 
positive,,,@talk2GLOBE - Kindly check my DM. Thanks. :) 
negative,,,@talk2GLOBE nothing. I'm enjoying my gosakto :D 
neutral,,,@talk2GLOBE I don't know who can act this right. You can check in your archive my complaint thread. See also attachd http://t.co/HLLkJSnLmA 
negative,,,"ah, this @talk2GLOBE is TOTALLY USELESS!!!! Not even replying. This @DeniseOfGlobe too wasn't even helping. Not even replying!! "
negative,,,"@talk2globe I don't want to read the word sorry, I have plenty of them already. "
positive,,,@talk2GLOBE #GlobeGlad2Serve Great! 
negative,,,"@talk2GLOBE ""SYSTEM UPGRADE."" such bull!%*! ""SYSTEM DOWNGRADE"". Much appropriate..Puro spiels, Puro copy paste. Try editing your response. "
negative,,,"@talk2GLOBE Crappy customer service, crappy internet connection. "
neutral,,,@talk2GLOBE Tattoo@Home DSL.. 
negative,,,@talk2GLOBE imagine downloading just a 139 MB file for 4 hours already and still IT WASNT FINISHED. 
neutral,,,"@enjoyGLOBE dear globe, after 5 days, why is my new nanosim not activated yet? ?? "
positive,,,@talk2GLOBE ma check nyo po ba if na approve or denied ang postpaif application? Thanks 
positive,,,"@talk2globe RT ""@arafej: Dear Globe, paki activate na please ng sim ko. :)"" "
negative,,,@talk2GLOBE yes i am and i'm also disappointed with ur mobile data. I can't get even a 3g signal. 
neutral,,,Finally I am reconnected! GaaAhd @talk2GLOBE  ayus ayus din ng signal pag may time. 
negative,,,"@talk2GLOBE Hello po, hirap na hirap po ako makakuha ng signal sometimes, puro ""sending"" lang po lagi status ng texts ko. "
neutral,,,@talk2GLOBE okay 
positive,,,Inquiries... :)) (@ Globe Telecom) http://t.co/R9bXKMdBK6 
negative,,,"@talk2GLOBE Yes, I received a txt msg from 8888. Reference#0543058 and I should be receiving another txt if it was already processed, right? "
neutral,,,Bayad bayad din toinks (@ Globe Store - @talk2globe) http://t.co/P9OaUBD3an 
positive,,,@talk2GLOBE Hi please check my case. Here's my reference no.50501061. Thanks! 
negative,,,@DeniseOfGlobe what now? I had to wait another day & someone else from @talk2GLOBE will ask again that number & nothing will be resolved 
neutral,,,@talk2GLOBE can i dm my number & serial?? 
negative,,,"Chicser gaming with @tulume, pero ang taas ng ping ko. Taena nanaman @enjoyGLOBE. "
neutral,,,@talk2GLOBE there 
neutral,,,@talk2GLOBE what are the instructions for international roaming for my daughters prepaid globe phone? 
negative,,,BAKIT PO KINAIN YUNG LOAD KO PO? @talk2GLOBE 
negative,,,BAKIT KINAIN YUNG LOAD KO PO? @talk2GLOBE 
positive,,,@anakarylle You can ask @talk2GLOBE ?ate K. :) 
negative,,,attention @enjoyGLOBE @talk2GLOBE Ï@anakarylle: how do i top up/load in macau? 223 doesn't work. what number do i call? For globeÓ 
negative,,,@JERINdipity yeah I was comparing it earlier at @enjoyGLOBE Festi. 
positive,,,@anakarylle You can ask @talk2GLOBE Ate K. :)) ? 
neutral,,,"I'm at Globe Store - @talk2globe (Makati City, Metro Manila) w/ 2 others http://t.co/E9UKKiJEDQ "
positive,,,@talk2GLOBE thank you Globe :) 
neutral,,,"@talk2GLOBE hi. Just want to ask, how do I get LTE signal? Should i go to a globe store to have it activated for my s4? "
neutral,,,@anakarylle @talk2Globe 
neutral,,,@talk2GLOBE please check my bill acct no. 78374334 my local data charge is UNUSUALLY HIGH. I dont even use 3g because i have wifi. pls check 
neutral,,,@talk2GLOBE yes I did I spoke to your representative for more than 3 times 2 calls disconnected. 
neutral,,,@talk2GLOBE 
neutral,,,GLOBE!! Anyare sa inyo??? Nung una deactivation ng UNLI. Ngayon nangangain nalang bigla ng load? @talk2GLOBE 
neutral,,,@talk2GLOBE andd let me tell u waht.malakas loob nila magdrop ng call I don't know if it has something to do sa internal environment nyo 
positive,,,@lsumpay Apologies for the late reply. Kindly DM @talk2GLOBE your account & mobile nos. for checking. Thanks! 
negative,,,"Dahill walang kwenta ang tweets to @talk2GLOBE and calls to their csr, punta na lng s globe ctr! Sirang sira talaga ang weekend k! "
negative,,,@talk2GLOBE maybe u should have the system to track who that agents are at least autocall log.After four yrs w/ u I'm getting tired. 
negative,,,@talk2GLOBE ano na naman pi nangyayari aa signal nyo? http://t.co/xdToexaCjx 
negative,,,"@talk2GLOBE shangrila mall yesterday and we're 5 in the group having our globe postpaid na super palpak, buti pa sun, 5 kme nahirapan "
neutral,,,@talk2GLOBE Hi! Good pm ask ko lng po Kung available na po ba ang nano sim for LTE para sa iphone5? Tnx ???? 
neutral,,,"We've been together all these years, @enjoyGLOBE but your people screwed me again. We can't go on like this forever, you know. "
negative,,,@enjoyGlobe I think there is something wrong with your touch panel thingy. Haha. http://t.co/cBSiFqgsAU 
neutral,,,@enjoyGLOBE line is ready for your installers. has been ready. bn trying to hv my dsl line installed @ 916 arnaiz in makati since march 
neutral,,,https://t.co/et6ZQ7eHkU @talk2GLOBE 
positive,,,Hi @enjoyGLOBE! My two years are up. Can my monthly consumable be downgraded please? Thanks! 
neutral,,,@talk2GLOBE mobile internet 
neutral,,,@talk2GLOBE UNTIL WHEN UNDER INVESTIGATION?  UNTIL MY CONTRACT END? #GlobeSabaw 
negative,,,"@talk2GLOBE ganun pa din, d pa rn magamit, dinala ko na sa wireless center, wala rin nagawa.... Haaaaaaaaaaaaaaaaaaaaaaaaay "
negative,,,Ganun ba kabagal o incompetent mga tao sa @talk2GLOBE at hanggang ngayon hindi posted payment/s ko dated May08? Its been a month grabe!!! 
neutral,,,@enjoyglobe pls confirm Globe Caravan in @AlabangTownCntr is until today? Want 2 drop by 
neutral,,,@krengray @talk2globe hahahaha :* 
neutral,,,@talk2GLOBE made written request with required Dox via Globe- Alabang Town Center more than a month ago. 
neutral,,,"@talk2GLOBE yes, at home "
positive,,,I love how @talk2GLOBE responds immediately. Thank you. :) @TemOfGlobe 
negative,,,"@talk2GLOBE  Obviously, yes! Since May 22, we don't have internet connection due to your stupid network issue!! "
neutral,,,"@talk2GLOBE 3g is unstable! For f's sake, I have been reporting it for ages! "
neutral,,,"tnx Globe Telecom, apo and Primer Group of Companies!!!!!!!! "
neutral,,,Bwisit na signal ng globe!!! @talk2globe 
neutral,,,@talk2GLOBE Hi! May tanong po ako. Kase di pa dumadating bill ko ang last na dumating ung payment ko nung april 18. 
neutral,,,@talk2GLOBE tapos nung nagcheck ako nag bill sabi 1500+ due on Jun 10. Bakit ganun e lagi naman ako nagchecheck ng unbilled laging 0? 
negative,,,@JessieTBC badtrip sa @talk2GLOBE ksi until now hindi prin okay yung unli call magamit eh. 
neutral,,,@talk2GLOBE account number: 77057343 
neutral,,,FYA @enjoyglobe http://t.co/CeiszzhmjJ 
negative,,,"@harryofglobe @talk2globe frustrating signal in Binan City, Laguna (in front of Savemore supermarket) sayang ang data plan! "
neutral,,,"Ay, naku maaayos din yan.. Kalma lang ;) @iambryceariel @talk2GLOBE "
negative,,,Hayop na signal na yan! Kailan ba aasenso! @Talk2Globe 
negative,,,@talk2GLOBE grabe na ang net nyo. tsssssss. lage nln problema. 
negative,,,@JessieTBC almost 10hours and counting na @talk2GLOBE hindi prin makatawag. 
positive,,,"I only paid P10 to see ""Now you see me"" with #GlobeRewards how cool is that!!! Thanks @enjoyGLOBE "
neutral,,,Usually within 24hrs naman yan.. Konting tiis lang ;) @iambryceariel @talk2GLOBE 
negative,,,Wala man lang nagrereply sa @talk2GLOBE 
neutral,,,@talk2GLOBE No I'm not. 
neutral,,,"@talk2GLOBE No, I'm not. "
negative,,,@talk2GLOBE ...thanks for the assistance. I would like to know if there's a problem on checking on unbilled? 
negative,,,@anakarylle: how do i top up/load in macau? 223 doesn't work. what number do i call? For globe @talk2globe pls ans 
neutral,,,@talk2GLOBE DO U HAVE ANY IDEA NA 6MONTHS NA ITONG NNC? 
negative,,,"@talk2GLOBE walang signal dito sa san mateo, sa one year n 5 months na subs ko sa globe, laging no service d2 http://t.co/vtwXVVT9Ge "
negative,,,@talk2GLOBE DID YOU KNOW ITS ALREADY 6MONTHS NA YUNG NNC KO STILL PENDING. 
neutral,,,Makakagamit din ako ng paandar na LTE ng @enjoyGLOBE ???????? http://t.co/4FtQeQLnP6 
neutral,,,@HarryOfGlobe @talk2GLOBE I find it unusual that you guys don't have a record of the transaction.You just keep on letting me do all this.. 
neutral,,,Bwisit na signal ng globe!!! @talk2globe 
negative,,,"RT @jerichorayel: @talk2GLOBE yes currently.  I don't want to bother you guys nakakahiya naman sa inyo. hanggang tanong lang kayo, walang a÷ "
negative,,,@HarryOfGlobe @talk2GLOBE these things! and say that ur going to report it. How long do you intend to let me wait?!!! 
neutral,,,No white!!! :( (@ Globe Store - @talk2globe) http://t.co/WDXfMh8y46 
negative,,,Super hassle Globe bill ???? hate you @talk2Globe 
negative,,,@talk2GLOBE can someone from globe call me? Hard to explain here. Ur cust reps are providing inconsistent infos. Reply ASAP 
negative,,,"Tatanggapin ko na lang na wala akong internet, nakakabwiset na eh! D na makakaulit tong globe saken! #GlobeSabaw @talk2GLOBE "
negative,,,"@talk2GLOBE my first reklamo ws last 4/25/2012,pro walang nagbago sa signal,shld switch to smart, sayang plan 1799. http://t.co/ZZFJK24Jv3 "
neutral,,,"@talk2GLOBE Everytime I try to access any webpage, it redirects to http://t.co/9CZAbU7HdF "
